Start Time:  9/3/25 5:45:48 PM            Time Completed:  9/3/25 6:15:53 PM        Elapsed Time:  00:30:04
Sample ID:     LL02_20kG_MF_v2

Experiment:    C:\IDEASVSM\Elin\Experiments\ciclo1T\ciclo1T.exp
Data File:     C:\IDEASVSM\Elin\LL02_20kG_MF_v2.txt
Plot File:     C:\IDEASVSM\Elin\LL02_20kG_MF_v2.oc2
VSM Exp File:  C:\IDEASVSM\Elin\Experiments\ciclo1T\ciclo1T.stp
VSM Data File: C:\IDEASVSM\Elin\LL02_20kG_MF_v2.dat

***DATA***

Field(G)	 Moment(emu)	
 6687.62 	 0.000591609 	
 6883.68 	 0.00117881 	
 7078.49 	 0.00185314 	
 7272.39 	 0.00261149 	
 7468.39 	 0.00347279 	
 7663.18 	 0.00435796 	
 7856.87 	 0.00524284 	
 8053.02 	 0.00611083 	
 8246.39 	 0.00691436 	
 8441.48 	 0.00765767 	
 8636.2 	 0.00830095 	
 8829.72 	 0.00882323 	
 9025.05 	 0.00926795 	
 9219.43 	 0.00961771 	
 9413.01 	 0.00991163 	
 9608.39 	 0.0101557 	
 9802.87 	 0.0103786 	
 9996.09 	 0.0105722 	
 10191.5 	 0.0107486 	
 10385.6 	 0.0109048 	
 10579.4 	 0.0110427 	
 10774.2 	 0.0111698 	
 10967.5 	 0.0112936 	
 11162.9 	 0.0114047 	
 11357.2 	 0.0115085 	
 11550.1 	 0.0116084 	
 11745.6 	 0.0117042 	
 11939.7 	 0.0117938 	
 12132.7 	 0.0118795 	
 12327.4 	 0.0119695 	
 12521.2 	 0.0120402 	
 12714.4 	 0.0121234 	
 12908.8 	 0.0122106 	
 13101.3 	 0.0122772 	
 13296.3 	 0.012355 	
 13489.8 	 0.0124321 	
 13682.2 	 0.0125054 	
 13877 	 0.0125741 	
 14070.2 	 0.0126525 	
 14263 	 0.0127167 	
 14457.3 	 0.0127884 	
 14649.7 	 0.0128596 	
 14843.1 	 0.012922 	
 15036.9 	 0.0129898 	
 15228.9 	 0.0130576 	
 15422.6 	 0.0131235 	
 15615.4 	 0.0131955 	
 15806.8 	 0.0132566 	
 16000.7 	 0.013322 	
 16193.6 	 0.0133878 	
 16385.2 	 0.0134494 	
 16579.1 	 0.0135064 	
 16771.4 	 0.0135655 	
 16963 	 0.0136354 	
 17155.8 	 0.0136924 	
 17346.8 	 0.0137472 	
 17539.6 	 0.0138041 	
 17731.2 	 0.0138652 	
 17920.9 	 0.0139193 	
 18113 	 0.0139695 	
 18303.5 	 0.0140233 	
 18492.1 	 0.0140775 	
 18682.5 	 0.0141343 	
 18869.1 	 0.0141856 	
 19055 	 0.0142268 	
 19238.9 	 0.0142698 	
 19418.4 	 0.0143083 	
 19596.9 	 0.0143498 	

	
	
